"DATE","STRATEGY_ID","ASSET_CLASS_ID","WGT","MODE_TAG","modified_at","modified_by"
2000-04-01,NDB,MGDFUT,0.08516483081497385,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDB,AGG,0.3240100113578168,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDB,LTT,0,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDB,TIPS,0.0,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDB,HY,0.0,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDB,INTLBOND,0.000000000001,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDB,FRN,0.08668808840249251,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDB,TBILL,0.0,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,USLG,0.24474508264711828,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,USSM,0.05860082195228037,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,INTLLG,0.08875040835530357,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,INTLSM,0,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,EM,0.08367490808048642,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,REIT,0.20787528923467496,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,COMM,0,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,ABSRET,0,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,MGDFUT,0.0842795169796461,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,AGG,0.17110506864929131,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,LTT,0.0031609867307354563,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,TIPS,0.0,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,HY,0,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,INTLBOND,0.000000000001,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,FRN,0.0578079173694634,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDGI,TBILL,0,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDLTG,USLG,0.26416422807243506,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDLTG,USSM,0.10080235438322284,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDLTG,INTLLG,0.06959929122571429,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDLTG,INTLSM,0.0000145653110178,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDLTG,EM,0.1503910220747246,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDLTG,REIT,0.19138491651476724,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDLTG,COMM,0.0,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDLTG,ABSRET,0.0,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDLTG,MGDFUT,0.08444409736975579,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDLTG,AGG,0.09350351073087268,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDLTG,LTT,0.010230051539730991,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDLTG,TIPS,0,act_etf,2024-05-30 16:02:47.975,research1
2000-04-01,NDLTG,HY,0,act_etf,2024-05-30 16:02:47.975,research1
